reference,doi,website_report,full_reference,id
"Adkin 1959","","http://www.jstor.org/stable/20703817","Adkin, G. L, 1959: “Great Harbour of Tara – Traditional Maori place-names and sites of Wellington Harbour and environs”. A Revision by G Leslie Adkin. Whitcombe and Tombs Ltd, Wellington.","1"
"Allen 2006","","","Allen, M. (2006) Rescue excavations at site N05/302, Tauroa Point. New Zealand Archaeological Association, 49, 105-119.","2"
"Allingham 1988","","","Allingham, B. (1988) Results of C14 analysis on samples from the Warrington site, Otago. New Zealand Archaeological Association, 31, 88-89.","3"
"Allo 1972","","","Allo, J. (1972) The Whangamata Wharf site (N49/2): Excavations on a Coromandel coastal midden. Records of the Auckland Institute and Museum, 9, 61-79.","4"
"Anderson 1966","","","Anderson, A.J. (1966) Maori occupation sites in back beach deposits around Tasman Bay. Unpublished MA thesis, University of Canterbury, 80pp.","5"
"Anderson 1981","","","Anderson, A.J. (1981) A fourteenth-century fishing camp at Purakanui Inlet, Otago. Journal of the Royal Society of New Zealand, 11, 201-221.","6"
"Anderson 2007","","","Anderson, B. (2007) James Goff email 14/2/2007.","7"
"Anderson et al 1996","","http://www.jstor.org/stable/40387094?seq=1#page_scan_tab_contents","Anderson, A.J., Allingham, B. and Smith, I. (eds.) (1996) Shag River Mouth: The archaeology of an early southern Maori village.  ANH Publications, RSPAS, Australian National University Canberra, ACT, 294pp.","8"
"Andrews 1893","","http://rsnz.natlib.govt.nz/volume/rsnz_26/rsnz_26_00_003800.html","Andrews, E.W. (1893) Pebbles and drifting sand. Transactions and Proceedings of the New Zealand Institute, XXVI, 397.","9"
"Anon 1868a","","","Anon. (1868a) Arrival of the schooner Rifleman from the Chatham Islands. Otago Witness, Issue 874, 11.","10"
"Anon 1868b","","","Anon. (1868b) Dunedin. North Otago Times, 11, Issue 341, 2.","11"
"Anon 1868c","","","Anon. (1868c) Remarkable tidal waves. Nelson Examiner and New Zealand Chronicle, 27, 2.","12"
"Anon 1868d","","","Anon. (1868d) Supposed earthquake waves. Otago Witness, Issue 873, 7.","13"
"Anon 1868e","","","Anon. (1868e) The earthquake wave at the Chatham Islands. Daily Southern Cross, 24, Issue 3472, 3.","14"
"Anon 1880","","","Anon. (1880) Dunedin. Evening Post, 20, Issue 242, 3.","15"
"Anon 1881","","","Anon. (1881) New Zealand telegrams. Taranaki Herald, 29, Issue 3773, 2.","16"
"Anon 1886","","","Anon. (1886) The Rotorua eruption. West Coast Times, Issue 6252, 2.","17"
"Anon 1895","","","Anon. (1895) The disturbances at Taupo. Evening Post, 50, Issue 44, 3.","18"
"Anon 1903","","","Anon. (1903) The Waimangu Geyser. Otago Witness, Issue 2581, 24.","19"
"Anon 1904","","","Anon. (1904) Overtaken by a tidal wave, A lucky escape. Evening Post, 67, Issue 88, 5.","20"
"Anon 1905","","","Anon. (1905) Casualties. Otago Witness, Issue 2660, 37.","21"
"Anon 1910a","","","Anon. (1910a) A great landslide. Hawera & Normanby Star, LVII, 22 March, 5.","22"
"Anon 1910b","","","Anon. (1910b) The Waihi Slide. Hawera & Normanby Star, LVII, 29 March, 7.","23"
"Anon 1962","","","Anon. (1962) The Taniwha of the Wanganui River. Te Ao Hou (The New World), 39, 3-5.","24"
"Anon 2004","","","Anon. (2004) Oaonui coastal sand dunes. Open Space (QE II National Trust), 62, 6.","25"
"Anon 2014","","http://homepages.paradise.net.nz/gkoolen/relief09%20.htm","Anon. (2014) RELIEF CARVINGS history 4 legend. http://homepages.paradise.net.nz/gkoolen/relief09%20.htm. (accessed 17 January 2014).","26"
"Ballance et al 1981","10.1130/0091-7613(1981)​9<592:CIMTIN>​2.0.CO;2","","Ballance, P.F., Gregory, M.R., Gibson, G.W. (1981) Coconuts in Miocene turbidites in New Zealand: Possible evidence for tsunami origin of some turbidity currents. Geology, 9, 5692-595.","27"
"Barber 1999","","","Barber, I. (1999) Archaeological research in the Eastern Golden Bay: An interim report. Archaeology in New Zealand, 42, 134-150.","28"
"Barber 2013","10.1002/arco.5005","","Barber, I. (2013) Molluscan mulching at the margins: investigating the development of a South Island Maori variation on Polynesian hard mulch agronomy. Archaeology in Oceania. 48, 40-52.","29"
"Barber and Walter 2002","","","Barber, I. and Walter, R. (2002) Archaeological assessment of an eroding site complex (No. I44/21) at Purakaunui Inlet, Otago. Archaeology in New Zealand. 45, 153-170.","30"
"Beattie 1915","","http://www.jstor.org/stable/20701115","Beattie, J.H. (1915) Traditions and legends. Collected from the natives of Murihiku (Southland, New Zealand). Part II. Journal of the Polynesian Society, 24, 98–112.","31"
"Beattie 1919","","http://www.jstor.org/stable/20701724","Beattie, J.H. (1919) Traditions and legends. Collected from the natives of Murihiku (Southland, New Zealand). Journal of the Polynesian Society, 28, 212-225.","32"
"Bell et al 2004","","https://www.waikatoregion.govt.nz/services/publications/technical-reports/tr/tr200432","Bell, R.G., Goff, J.R., Downes, G., Berryman, K., Walters, R.A., Chague-Goff, C., Barnes, P., Wright, I. (2004) Tsunami hazard for the Bay of Plenty and Eastern Coromandel Peninsula: Stage 2. Environment Waikato Technical Report 2004/32.","33"
"Bellwood 1978","","","Bellwood, P.S. (1978) Archaeological Research at Lake Mangakaware. Waikato (1968–1970). Otago University Studies in Prehistoric Archaeology 12 and NZAA Monograph 9. Otago University, Dunedin.","34"
"Best 1918","","http://www.jps.auckland.ac.nz/document/?wid=1392","Best, E. (1918) The Land of Tara and they who settled it. Part III. Transaction and Proceedings of the Polynesian Society, 27, 49-71.","35"
"Best 1919","","http://www.jps.auckland.ac.nz/document/?wid=1063","Best, E. (1919) The Land of Tara and those who settled it. The Journal of the Polynesian Society, 28, 1-17.","36"
"Best 1923","","http://rsnz.natlib.govt.nz/volume/rsnz_54/rsnz_54_00_008110.html","Best, E. (1923) Miramarn and its history: How Motu‑kairangi was discovered and settled by Polynesians and how in times long past it became Miramar Peninsula. Transactions of the New Zealand Institute, 54, 779‑791.","37"
"Bishop and Mildenhall 1994","10.1080/00288306.1994.9514612","","Bishop, D.G. and Mildenhall, D.C. (1994) The geological setting of ventifacts and wind-sculpted rocks at Mason Bay, Stewart Island, and their implications for Late Quaternary paleoclimates. New Zealand Journal of Geology & Geophysics, 37, 169-180.","38"
"Boorer 2002","","","Boorer, S. (2002) Geomorphic evolution of the South Bay Coast, Kaikoura. MSc Thesis, Geography, University of Canterbury, 169pp. (In: Walters et al 2003).","39"
"Bristow 1988","","","Bristow, P. (1988) An archaeological site survey of settled areas of the Waverley – Whenuakura Region. Wanganui Regional Museum Report, Wanganui.","40"
"Brook 1999a","10.1080/03014223.1999.9517580","","Brook, F.J. (1999a). Biogeography and ecology of the landsnail faunas of North East, South West and West Islands, Three Kings Group, Northern New Zealand. Journal of the Royal Society of New Zealand, 29, 1-21.","41"
"Brook 1999b","10.1080/03014223.1999.9517602","","Brook, F.J. (1999b) Stratigraphy and landsnail faunas of Late Holocene coastal dunes, Tokerau Beach, Northern New Zealand.  Journal of the Royal Society of New Zealand, 29, 337-359.","42"
"Brook 1999c","10.1080/03014223.1999.9517603","","Brook, F.J. (1999c) Stratigraphy, landsnail faunas, and palaeoenvironmental History of coastal dunefields at Te Werahi, Northernmost New Zealand. Journal of the Royal Society of New Zealand, 29, 361-393.","43"
"Brook and Goulstone 1999","10.1080/03014223.1999.9517587","","Brook, F.J., and Goulstone, J.F. (1999) Prehistoric and present-day coastal landsnail faunas between Whananaki and Whangamumu, northeastern New Zealand, and implications for vegetation history following human colonisation. Journal of the Royal Society of","44"
"Buddle 1912","","http://www.jps.auckland.ac.nz/document.php?wid=870","Buddle, R. (1912) Contributions to South Island (NZ) Maori history. Journal of the Polynesian Society, 21, 173-180.","45"
"Buist 1963","","","Buist, A. (1963) Kaupokonui midden, South Taranaki N128/3: Preliminary Report. New Zealand Archaeological Association. 6, 175-183.","46"
"Butts 1982","","","Butts, D. (1982) Preliminary observations relating to the coastal shell middens of Manawatu. New Zealand Archaeological Association. 25, 268-275.","47"
"Butts and Fyfe 1978","","","Butts, D and Fyfe, R. (1978) Report on the Kaitoke – Tryphena Harbour Archaeological site survey, Great Barrier Island. New Zealand Historic Places Trust. 31pp.","48"
"Campbell and Clough 2002","","","Campbell, M. and Clough, R. (2002) Omaha Beach, Stage 1: Preliminary archaeological report. Archaeology in New Zealand, 45, 128-152.","49"
"Campbell et al 1973","10.1080/0028825X.1973.10430284","","Campbell, E.A., Heine, J.C. and Pullar, W.A. (1973) Identification of plant fragments and pollen from peat deposits in Rangitaiki Plains and Maketu Basins. New Zealand Journal of Botany, 11, 317-330.","50"
"Carrington 1934","","","Carrington, A.H. (1934) Ngai Tahu: A story of the invasion of the South Island of New Zealand by the descendants of Tahu-Potiki. Letters & papers in the Alexander Turnbull Library, Manuscript 79, Folders 1-4. (In: King and Goff 2006).","51"
"Cassels 1979","","https://nzarchaeology.org/download/early-prehistoric-wooden-artefacts-from-the-waitore-site-n13616-near-patea-taranaki","Cassels, R. (1979) Early prehistoric artefacts from the Waitore site (N136/16) near Patea, Taranaki. News Zealand Journal of Archaeology, 1, 85-108.","52"
"ChaguéGoff and Goff 1999","","https://aqua.org.au/?page_id=103","Chagué-Goff, C. and Goff, J.R (1999) Geochemical and sedimentological signature of catastrophic saltwater inundations (tsunami), New Zealand. Quaternary Australasia, 17, 38-48.","53"
"ChaguéGoff and Goff 2006","","http://www.nrc.govt.nz/Environment/Coast/Tsunami/","Chagué-Goff, C. and Goff, J. R. (2006) Tsunami hazard assessment baseline for the Northland region. NIWA Report CHC2006-069.","54"
"ChaguéGoff et al 2000","10.1016/S0025-3227(00)00035-9","http://www.sciencedirect.com/science/article/pii/S0025322700000359","Chagué-Goff, C., Nichol, S.L., Jenkinson, A.V. and Heijnis, H. (2000) Signatures of natural catastrophic events and anthropogenic impact in an estuarine environment, New Zealand. Marine Geology 167(3/4), 285-301.","55"
"ChaguéGoff et al 2002","10.1016/02688699646943","","Chagué-Goff, C., Dawson, S., Goff, J.R., Zachariasen, J., Berryman, K.R., Garnett, D.L., Waldron, H.M. and Mildenhall, D.C. (2002) A tsunami (c. 6300 years BP) and other environmental changes, northern Hawke’s Bay, New Zealand. Sedimentary Geology, 150, 8","56"
"Challis 1991","","https://nzarchaeology.org/download/nelson-marlborough-region-an-archaeological-synthesis","Challis, A.J. (1991) The Nelson-Marlborough region: An archaeological synthesis. New Zealand Journal of Archaeology, 13, 101-142. (In: Walters et al 2003).","57"
"Challis 1995","","http://nationalparks.co.nz/Documents/science-and-technical/sr89.pdf","Challis, A.J., (1995) The archaeology of Canterbury in Maori times. Department of Conservation Science and Research Series, 89, 118pp.","58"
"Chan 2015","","","Chan, A. (2015) Drowned forest may shed light on palaeoseismicity on the West Coast, New Zealand. Unpublished MscHons thesis. University of New South Wales, Sydney, Australia.","59"
"Chester & Raine 1990","","http://www.doc.govt.nz/documents/science-and-technical/EcologicalRestorationNZIslands.pdf","Chester, P.I. and Raine, J.I. (1990) Mana Island revegetation: Data from late Holocene pollen analysis, in Towns, D.R., Dougherty, C.H. and Atkinson, I.A.E. (eds.) Ecological restoration of New Zealand Islands, Conservation Science Publication No. 2, DOC,","60"
"Chudleigh","","","Chudleigh, E. R. (n.d.) Diaries, 1886-1919. National Register of Archives and Manuscripts. Canterbury Museum, Manuscripts Department 34/49, Folder Box 2, Item 5/6.","61"
"Clark et al 2015","10.1785/0120140291","","Clark, K.J., Hayward, B.W., Cochran, U.A., Wallace, L.M., Power, W.L., Sabaa, A.T. (2015) Evidence for past subduction earthquakes at a plate boundary with widespread upper plate faulting: southern Hikurangi Margin, NZ. Bulletin of the Seismological Socie","62"
"Cochran et al 2005","10.1080/00288306.2005.9515129","","Cochran, U.A., Berryman, K.R., Mildenhall, D.C., Hayward, B.W., Southall, K. and Hollis, C.J. 2005. Towards a record of Holocene tsunami and storms for northern Hawke’s Bay, New Zealand. New Zealand Journal of Geology & Geophysics, 48, 507–515.","63"
"Cochran et al 2007","10.1016/j.quascirev.2007.01.008","","Cochran, U., Hannah, M., Harper, M., Van Dissen, R., Berryman, K., Begg, J. (2007) Detection of large, Holocene earthquakes using diatom analysis of coastal sedimentary sequences, Wellington, New Zealand. Quaternary Science Reviews, 26, 1129-1147.","64"
"Colenso 1889","","http://trove.nla.gov.au/version/26398479","Colenso, W. (1889) Ancient tide-lore and tales of the sea, from the two ends of the world: also some highly curious ancient and legendary little-known East Coast Māori stories. C. Harding, Hastings, 51 p.","65"
"Collot et al 2001","10.1029/2001JB900004","","Collot, J-Y., Lewis, K., Lamarche, G., Lallemand, S. (2001) The giant Ruatoria debris avalanche on the northern Hikurangi margin, New Zealand: Result of oblique seamount subduction. Journal of Geophysical Research, 106, 19271-19297.","66"
"Cope 2011","","","Cope, J. (2011) Holocene sedimentary record of gradual, catastrophic and human influenced environmental changes at Moawhitu Wetland, D’Urville Island, New Zealand. Unpublished BEnvSci, University of New South Wales, Sydney, Australia. 160pp.","67"
"Coster 1989","","https://nzarchaeology.org/download/dates-from-the-dunes-a-sequence-for-the-aupouri-peninsula-northland-new-zealand","Coster, J. (1989) Dates from the dunes: A sequence for the Aupori Peninsula, Northland, New Zealand. New Zealand Journal of Archaeology, 11, 51-75.","68"
"Crawford 1873","","","Crawford, J.C. (1872) Notes on Miramar Peninsula, Wellington Harbour. Transactions of the New Zealand Institute, Vol. 5, 396pp.","69"
"Crawford 1884","","http://rsnz.natlib.govt.nz/volume/rsnz_17/rsnz_17_00_005760.html","Crawford, J. C. (1884) On water-worn pebbles in the soil. Transactions of the Royal Society of New Zealand, Vol. 17, 341-342.","70"
"Davidson 1975","","https://www.jstor.org/stable/42906218","Davidson, J. (1975) The excavation of Skipper’s Ridge (N40/7), Opito, Coromandel Peninsula, in 1959 and 1960. Records of the Auckland Institute and Museum, 12, 1-42.","71"
"Davidson 1976","","http://ir.canterbury.ac.nz/handle/10092/6779","Davidson, G.D. (1976) Late Holocene environmental history of the Kaikoura area. MA thesis, Geography, University of Canterbury, 121pp. (In: Walters et al 2003).","72"
"Davidson 1984","","","Davidson, G.D. (1984) The Prehistory of New Zealand. Longman Paul, Auckland (207 pp.).","73"
"Davis 1957","","http://www.jps.auckland.ac.nz/document/Volume_66_1957/Volume_66%2C_No._2/Evidence_of_Maori_occupation_in_the_Castlepoint_area%2C_by_Susan_Davis%2C_p_199_-_203?action=null","Davis, S. (1957) Evidence of Maori occupation in the Castlepoint area. Journal of the Polynesian Society, 66, 199-203.","74"
"de Lange and Cameron 1997","","","de Lange, P.J. and Cameron, E.K. (1997) Waterspout damage to Aorangi Island, Poor Knights. Auckland Botanical Society Journal, 52, 37-38.","75"
"de Lange and Healy 1986","","http://www.tandfonline.com/doi/abs/10.1080/00288306.1986.10427527","de Lange, W.P. and Healy, T.R. (1986) New Zealand tsunamis 1840-1982. New Zealand Journal of Geology and Geophysics, 29, 115-134.","76"
"de Lange and Moon 2007","10.1016/j.sedgeo.2007.01.006","","de Lange, W.P. and Moon, V.G. (2007) Tsunami washover deposits at Tawharanui, New Zealand. Sedimentary Geology, 200, 232-237.","77"
"de Lange and Moon in press","","","de Lange, W.P. and Moon, V.G. (In press) Volcanic generation of tsunamis: Two New Zealand palaeo-events. 7th International symposium on Submarine Mass Movements and Their Consequences. Novermber 1-4, 2015 Wellington NZ.","78"
"de Lange et al 2006","10.1016/j.margeo.2006.04.006","","de Lange, W.P., de Lange, P.J. and Moon, V.G. (2006) Boulder transport by waterspouts: an example from Aorangi Island, New Zealand. Marine Geology. 230. 115-125.","79"
"Dobson 1930","","","Dobson, A.D., 1930. Reminiscences of Arthur Dudley Dobson Engineer, 1841-1930. Whitcombe and Tombs, Wellington, 225pp.","80"
"Donnelly et al 2015 in review","","","Donnelly, J., Goff, J.R., Chagué-Goff, C. (in review) A record of local storms and 1 trans-Pacific tsunamis.","81"
"Downes et al 2005","","http://www.eqc.govt.nz/sites/public_files/3723-Understanding-local-source-tsunami-1820s-Southland-tsunami.pdf","Downes, G., Cochran, U., Wallace, L., Reyners, M, Berryman, K., Walters, R., Callaghan, F., Barnes, P. and Bell, R. (2005) EQC Project 03/490 – Understanding local source tsunami: 1820s Southland tsunami. GNS Client Report 2005/153, 92pp.","82"
"Duckmanton 1974","","","Duckmanton, N.M. (1974) The shore platforms of the Kaikoura Peninsula. Unpublished MA Thesis (Geography), University of Canterbury, 136pp. (In: Walters et al 2003).","83"
"Edson & Brown 1977","","","Edson, S. and Brown, D. (1977) Salvage excavation of an archaic burial context, N44/97, Hahei. Records of the Auckland Institute and Museum, 14, 25-36.","84"
"Elvy 1950","","","Elvy, W.J. (1950) Kaikoura coast: the history, traditions and Maori place-names of Kaikoura. Hundalee Scenic Board and Whitcombe and Tombs Ltd, Christchurch, 135pp. (In: Walters et al 2003).","85"
"Field 1877","","http://rsnz.natlib.govt.nz/volume/rsnz_09/rsnz_09_00_001240.html","Field, H.C. (1877) Notes on some ancient Aboriginal câches near Wanganui. Transactions and Proceedings of the New Zealand Institute, 9, 220-229.","86"
"Fomison 1960","","https://nzarchaeology.org/download/site-survey-of-the-kaikoura-peninsula","Fomison, T. (1959) Site survey of the Kaikoura Peninsula. New Zealand Archaeological Association Newsletter, 3, 4-18.","87"
"Fomison 1963","","https://nzarchaeology.org/download/excavations-at-south-bay-kaikoura-site-s49-43","Fomison, T. (1963) Excavations at South Bay Kaikoura – Site S49/43. New Zealand Archaeological Association Newsletter, 8,100-102.","88"
"Fox and Cassels 1983","","","Fox, A., and Cassels, R. (1983) Excavations at Aotea, Waikato, 1972–75. Rec. Auckland Inst. Mus. 20, 65–106.","89"
"Furey 1982","","","Furey, L. (1982) Whangapoua – Okiwi, Great Barrier island archaeological site survey. New Zealand Historic Places Trust. 17pp.","90"
"Furey 1991","","","Furey, L. (1991) Excavations at Whitipirorua, T12/16, Coromandel Peninsula. Records of the Auckland Institute and Museum, 28, 1-32.","91"
"Fyfe 1988","","","Fyfe, R. (1988). The Opua moahunter midden, Cape Egmont, Taranaki. Archaeology in New Zealand, 31, 228-232.","92"
"Gillies et al 2001","","","Gillies, K., Higham, T., Johns, D., Jones, M.D., Sutton, D.G. and Wallace, R.D. (2001) Radiocarbon age for a canoe prow from site D49/28, Mason Bay, Stewart Island, New Zealand. Australasian Archaeometry Conference 2001. Australasian Connections and New D","93"
"Goff 1997","10.1016/S0025-3227(97)00018-2","","Goff, J.R. (1997) A chronology of natural and anthropogenic influences on coastal sedimentation, New Zealand. Marine Geology, 138, 105-117.","94"
"Goff 2002a","","","Goff, J.R. (2002a) Preliminary study of tsunami record on Coromandel East Coast. GeoEnvironmental report: GEO2002/20024/6, Environmental Waikato/ Environmental Bay of Plenty, 34pp.","95"
"Goff 2002b","","","Goff, J.R. (2002b) Ancillary tsunami project. GeoEnvironmental report: GEO2002/20026.Report for Environmental Bay of Plenty, 43pp.","96"
"Goff 2003","","http://www.boprc.govt.nz/media/32239/CivilDefence-2006-TsunamiStageOneReportA.pdf","Goff, J.R. (2003) Joint Tsunami Research Project: Stage 1. GeoEnvironmental report: GEO2003/20028. Environment Bay of Plenty and Environment Waikato, 49pp.","97"
"Goff 2005a","","","Goff, J.R. (2005a) Preliminary core study - Upper Lyttelton Harbour. NIWA Report CHC2005-151, 15pp.","98"
"Goff 2005b","","http://www.aucklandcity.govt.nz/council/documents/technicalpublications/TP2801.pdf","Goff, J.R. (2005b) Tsunami Overview Study. GeoEnvironmental Consultants Report 2005/20060 for Auckland Regional Council. 28pp.","99"
"Goff 2007a","","","Goff, J.R. (2007a) New Plymouth District – tsunami risk. NIWA Report CHC2007-119, 32pp.","100"
"Goff 2007b","","","Goff, J.R. (2007b) Tsunami hazard assessment and coastal inundation modeling – Hawke’s Bay (Modules 4 and 5). Interim report. NIWA Report CHC2007-023, 22pp.","101"
"Goff 2008","","","Goff, J.R. (2008) Tsunami Hazard Assessment for Hawke’s Bay Region. NIWA Report CHC2008-021, 30pp.","102"
"Goff 2012","10.1111/j.1745-5871.2011.00705.x","","Goff, J.R. (2012) Tsunamis and stranded vessels: Up Ship Creek without a paddle? Geographical Research, 50(1), 102-107.","103"
"Goff and Chague-Goff 1999","10.1016/S1040-6182(98)00016-0","http://www.sciencedirect.com/science/article/pii/S1040618298000160","Goff, J.R. and Chagué-Goff, C. (1999) A Late Holocene record of environmental changes from coastal wetlands: Abel Tasman National Park, New Zealand. Quaternary International, 56, 39-51.","104"
"Goff and ChagueGoff 2007","","","Goff, J.R. and Chagué-Goff, C. (2007) Avon-Heathcote Estuary (Ihutai): Palaeoenvironmental changes project – Final stage report. NIWA Client Report CHC2007-026. Christchurch City Council, 22pp.","105"
"Goff and ChagueGoff 2009","","","Goff, J.R. and Chagué-Goff, C. (2009) Brief Communication: Cetaceans and tsunamis – whatever remains, however improbable, must be the truth? Natural Hazards Earth System Science, 9, 855–857.","106"
"Goff and ChagueGoff 2012","10.1016/j.quascirev.2012.10.004","","Goff, J.R. and Chagué-Goff, C. (2012) A review of palaeo-tsunamis for the Christchurch region, New Zealand. Quaternary Science Reviews, 57, 136-156.","107"
"","","","","108"
"Goff and ChagueGoff 2015a","10.1016/j.margeo.2015.03.002","","Goff, J.R. and Chagué-Goff, C. (2015a) Three large tsunamis on the non-subduction, western side of New Zealand over the past 700 years. Marine Geology, 363, 243-260.","109"
